Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
49,,Augustus,Tobias,2/2/98,Right,17451,-765.9350072,-4.355497854,7.659350072,-2.344,-546.1562492,391.4225282,6.185903739,1057.131262,10.22197576,0.619928953,-243.17219,-65.37
50,,Dominic,Gregg,5/23/97,Left,44637,-323.3697072,9.678461975,3.233697072,6.264,348.4699971,606.9480127,3.819909536,1046.808909,5.729548757,-0.383630758,-228.9003,59.62
51,,Rudolph,Isbell,8/6/98,Left,41578,635.9601484,4.131627171,-6.359601484,6.625,-473.3355645,385.9883755,0.208533843,1053.051754,1.453610248,-0.549228018,-246.02093,34.89
52,,Shirley,Whiteman,9/15/99,Right,22186,-663.0892087,5.276264041,6.630892087,3.487,172.7071972,542.4520802,4.560653146,1031.834115,6.12535086,-0.09422529,-231.0108,39.01
53,,Les,Tribble,2/1/00,Left,16983,-255.9690798,5.57106751,2.559690798,6.333,419.3146722,594.9875158,3.32176515,1065.762879,8.922138717,-0.503578832,-230.21003,55.38
54,,Hong,Cady,8/23/00,Right,37619,505.4816666,4.384321748,-5.054816666,6.331,-527.3580895,384.9594013,4.642887277,1053.479362,4.66892772,0.397039788,-243.36927,-4.43
55,,Normand,Wallace,5/17/98,Left,42727,-701.6268008,-5.120741723,7.016268008,-2.686,-610.0758199,366.4609824,7.187570052,1048.14949,8.457520505,0.53738103,-246.17299,-112.9
56,,Darrell,Wimberly,8/18/01,Left,38556,-553.282505,-7.870242967,5.53282505,,-370.4064342,388.6947779,6.640549693,1058.217139,11.8572124,0.295778804,-250.14318,-108.02
57,,Brandon,Fine,6/26/98,Left,61279,-393.4885296,3.812411081,3.934885296,6.078,581.4002123,605.185563,5.02252827,1061.367887,7.002986803,-0.461674567,-231.79562,-38.63
58,,Shannon,Reddy,7/2/01,Right,29026,586.0113849,2.364715466,-5.860113849,6.11,-368.7362371,403.5523655,8.277285235,1041.021255,8.300726895,1.135909179,-243.25871,-27.86
59,,Jeramy,Herrera,4/10/99,Left,37002,534.0821508,-4.638493129,-5.340821508,6.097,-507.0388715,580.6501602,-4.435088945,957.637155,3.226146373,-0.537002223,-251.34128,186.74
60,,Andrew,Lauer,1/23/97,Left,43759,422.9056095,-6.934893926,-4.229056095,4.086,-329.5775137,569.3030532,-4.05766654,944.0759361,2.49431288,0.242165004,-253.61265,157.86
61,,Ericka,Carlson,9/28/00,Left,70217,625.3556296,-5.386965422,-6.253556296,2.343,-706.2699781,621.5440373,-5.234120421,944.5442475,4.472214577,2.236102434,-257.75982,205.46
62,,Yesenia,Wentworth,12/9/96,Left,50906,401.9926884,4.289389185,-4.019926884,6.127,-351.7220092,414.7988245,6.772685681,1037.164118,4.821739819,1.069716004,-242.17409,-31.27
63,,Deanna,Melendez,11/29/99,Right,46673,461.1460509,5.074462697,-4.611460509,5.865,-490.8074068,391.2256089,6.267527404,1048.941203,5.015789151,1.41583078,-242.7843,-23.7
64,,Bettye,Villasenor,5/21/97,Left,30996,-579.4450588,4.599200692,5.794450588,4.015,427.7919763,564.838491,2.617822676,1045.610408,5.347644332,0.401211382,-231.72331,31.7
65,,Melissa,Martindale,1/18/98,Left,99744,169.0326735,5.271105666,-1.690326735,3.536,-759.0699195,394.8033218,2.432329366,1079.705159,1.77911357,-0.109311573,-246.46014,-64.38
66,,Elia,Ornelas,3/7/01,Left,47335,,5.077930203,-5.478649243,7.213,-299.572722,388.535601,5.013048,1035.674178,2.161468671,0.063304672,-242.73886,-16.69
67,,Dewitt,Geary,11/22/96,Right,19600,-386.2946365,4.913790427,3.862946365,5.27,176.6535166,573.2277761,5.739720112,1062.792698,10.40316678,-0.215012507,-230.59801,26.41
68,,Kathy,Thibodeaux,9/1/99,Right,44162,472.0709674,5.074169744,-4.720709674,3.182,-238.915522,405.9922409,6.71860996,1026.819009,5.463969302,,-244.23385,-1.89
69,,Taylor,Yarbrough,5/26/99,Right,68534,-505.3476661,5.268869027,5.053476661,5.17,614.2776504,632.155743,4.576593697,1042.131298,5.784011644,0.400525829,-231.12391,-10.76
70,,Benedict,Christopher,1/27/98,Right,41725,-546.2034061,-6.296241654,5.462034061,-4.25,-223.807952,427.2449027,5.485724137,1034.930552,9.558548092,3.205525235,-248.38773,-68.97
71,,Birdie,Haller,7/22/00,Right,57714,-388.385532,-5.34348281,3.88385532,-6.942,-545.608623,390.6225735,2.840614552,1073.195605,10.0679262,1.04215534,-253.65697,-65.4
72,,Wilford,Parks,12/30/96,Left,,734.7834167,-3.744274236,-7.347834167,5.384,-616.0813496,604.6752753,-4.786548518,951.2904909,3.676677539,,-254.08185,208.13
73,,Eleanor,Nathan,11/23/97,Right,32066,-409.7263032,6.036501766,4.097263032,5.417,169.4776426,581.4046955,5.401559558,1036.316107,7.639174531,0.067167745,-230.78352,40.68
74,,Chang,Tallent,9/15/99,Left,54865,353.0543621,-3.969735578,-3.530543621,6.452,-288.7053161,625.8656897,,961.8894421,1.60066261,0.330380938,-249.4093,178.29
75,,Elbert,Potts,5/13/99,Left,44605,513.055182,5.796347011,-5.13055182,6.313,-413.810521,451.3746458,4.97351307,1032.967474,5.312641277,,-242.00769,32.94
76,,Keven,Hager,1/10/99,Left,35535,582.903295,4.841548854,-5.82903295,2.992,-386.913471,433.4551517,3.726787658,1035.051396,6.549406924,0.936139445,-245.83222,58.99
77,,Lynwood,Almond,10/19/97,Right,,291.022048,-6.255449948,-2.91022048,3.951,-466.2814978,593.4903173,-5.191954437,944.939339,0.948743407,1.649182221,-254.0018,151.97
78,,Renaldo,Ngo,12/8/96,Left,4536,-385.7769705,3.049900436,3.857769705,4.361,333.7264117,562.3180267,3.517562058,,9.926702967,2.25236974,-232.14038,46.8
79,,Myra,Wiley,5/6/97,Left,37200,,-5.004776496,-6.050062709,4.689,-947.7679167,546.6778977,-6.411736393,926.0916372,0.872950045,-0.918140206,-256.03311,240.57
80,,Chantal,Macdonald,12/6/99,Right,43735,-628.3705546,0.673022656,6.283705546,3.226,693.8054575,589.5853,4.419397609,1055.313783,7.903262589,-0.923034884,-233.27417,-35.9
81,,Luella,Fuller,12/25/99,Right,70453,463.338651,7.014549251,-4.63338651,3.547,-551.9474924,352.0696428,3.209855579,1058.343369,1.074930659,-0.227172731,-246.36528,-23.88
82,,Wilbur,Salley,8/25/99,Left,72488,-334.8671032,-6.544687941,3.348671032,-3.515,-671.2523274,396.498075,5.662487814,1060.38374,9.652218736,-0.647387657,-252.45307,-117.57
83,,Manuela,Tucker,11/30/97,Right,42474,556.8209864,-6.025279041,-5.568209864,4.185,-691.9108027,573.6421846,-4.083571961,943.7123158,3.985277784,0.885157364,-254.83519,192.17
84,,Lupe,Myrick,3/23/99,Right,68654,413.4608007,,-4.134608007,5.488,-653.3299143,600.0961787,-6.774123439,948.6930529,-0.125635984,0.365662396,-253.15144,192.49
85,,Earline,Singletary,2/13/00,Right,63385,396.3177241,3.51074192,-3.963177241,4.593,-407.4945713,396.5392112,9.095451336,1047.996523,6.701145542,-0.264253277,-243.88771,-82.53
86,,Mohamed,Wills,5/3/01,Left,62249,481.9154272,3.630489795,-4.819154272,3.701,-660.0657009,468.5238858,4.810436711,1058.944463,8.91909769,0.647008769,-246.06211,10.49
87,,Danilo,Whiting,9/4/99,Left,49230,427.8502609,7.144356824,-4.278502609,4.481,-621.9608771,396.9001184,1.96221809,1056.132108,2.916695362,0.60871797,-244.08299,38.72
88,,Alberta,Tomlin,8/17/99,Right,59914,-511.0762561,6.718753761,5.110762561,6.098,585.633652,554.7513676,2.389434249,1040.684014,0.637404529,2.204634973,-230.92879,-7.64
89,,Bruce,Mccool,9/8/00,Left,46922,-376.0172368,8.2019822,3.760172368,6.007,485.3483336,591.3177535,4.482976105,1055.746714,5.866438312,-1.739953547,-229.20374,18.48
90,,Andria,Lees,12/3/96,Left,71589,369.1952642,4.549809155,-3.691952642,4.936,-541.6433762,415.2495224,,1058.920354,1.897211215,0.30488172,-245.83825,-4.13
91,,Erwin,Knudsen,10/1/01,Right,37106,-669.937361,-5.393878622,6.69937361,-5.212,-830.7996267,323.7342404,7.384314554,1077.314505,11.11848796,-0.026686904,-248.80566,-124.65
92,,Jerrold,Lynch,5/29/99,Right,70896,477.2040535,-6.358315777,-4.772040535,2.684,-643.8021143,580.1099879,-5.263805985,936.7165073,1.568147866,0.144381903,-257.48158,171.99
93,,Keven,Emanuel,7/11/00,Right,52045,533.8525263,6.492318628,-5.338525263,3.942,,418.6464451,2.232403645,1037.017267,2.71288003,-0.613027108,-245.25227,45.85
94,,Otto,Muniz,8/24/98,Right,46717,-636.8818119,6.183190469,6.368818119,4.817,770.3896175,568.7892712,5.711948202,1055.491515,5.199295025,1.36963155,-228.40478,-38.13
95,,Domingo,Maloney,12/16/97,Right,29432,-463.2211196,3.186254084,4.632211196,4.853,463.7182955,591.3214058,4.532000513,1041.763593,7.919954038,-0.749162694,-231.74768,20.45
96,,Jon,Patterson,1/25/99,Right,23761,694.9968386,-5.212563901,-6.949968386,5.213,-774.0911463,576.330325,-3.962911102,943.6739836,5.385683794,0.351315509,-253.74136,228.67
97,,Devin,Kuykendall,6/29/99,Right,72835,-488.390242,-5.619550794,4.88390242,-5.062,-397.9954684,408.5534527,4.925187596,1030.769314,7.028466789,-0.659896602,-251.78655,-92.12
98,,Dara,Doty,7/5/97,Right,38819,,5.405685223,,3.787,-241.39711,383.495021,8.980821713,1026.377378,5.809116222,0.166098888,-242.18932,-31.48
99,,Jonas,Worthy,6/25/01,Left,79908,-488.5461167,2.590905346,4.885461167,5.573,686.0464087,624.1116172,5.09384071,1047.660109,5.733111738,0.3697672,-232.89752,-61.56
100,,Alec,Carswell,6/2/99,Right,51723,408.2950077,6.146738209,-4.082950077,3.405,-327.3067823,337.4091211,4.888139,1043.49169,1.427603671,-0.662186454,-244.8318,-30.99
101,,Noemi,Bedard,5/1/98,Left,41238,457.5573671,6.111695607,-4.575573671,5.816,-562.2633448,478.0168459,10.36699507,1035.004325,11.06963362,-0.208598622,-239.6017,5.27
102,,Philip,Ochoa,6/20/99,Right,59614,453.4658105,7.005987921,-4.534658105,5.416,-763.7879172,421.6629573,5.151240782,1062.40021,5.991270414,-0.203630408,-243.00066,3.8
103,,Natalia,Heath,6/22/01,Right,51864,,-3.784141201,5.230767828,-6.267,-407.6034736,389.1781991,1.029058606,1068.609247,7.179153969,-1.585740864,-251.13722,-43.19
104,,Irwin,Hawk,1/29/01,Right,38150,-644.4933929,4.490907234,6.444933929,2.866,179.2761051,592.1080244,6.590827846,1034.327811,9.339240387,1.181659244,-231.56018,17.95
105,,Vernell,Caraballo,9/30/99,Left,,-569.803191,1.068593082,5.69803191,3.731,447.084378,618.8380416,,1064.73843,13.39001301,-0.301627599,-230.89281,13.14
106,,Faye,Watts,11/4/98,Left,57510,405.7347042,7.927740733,-4.057347042,0.718,-449.038077,387.127413,3.390797364,1042.869454,3.336405205,-0.488532612,-246.26357,31.24
107,,Damaris,Beatty,7/23/97,Right,33737,-586.6308455,-3.976544977,5.866308455,,-453.5614382,405.513093,4.835170654,1047.607091,9.207117021,-0.56159791,-246.72453,-47.62
108,,John,Lucas,3/5/01,Left,,-561.8914265,-8.571173123,,-7.491,-422.7621296,351.3334809,5.275056879,1078.532912,10.99614486,-0.069805019,-253.64782,-138.01
109,,Kermit,Main,3/25/98,Left,41369,664.5915295,1.879006385,-6.645915295,5.565,-396.1990717,,6.422716493,1047.681617,7.437203207,-0.268450137,-245.89424,-25.22
110,,Amanda,Giroux,9/30/99,Right,48873,299.3982299,8.660523857,-2.993982299,3.945,-384.4279496,411.086034,0.622971864,1033.02698,-0.099272048,1.458845585,-242.58893,69.7
111,,Flossie,King,3/19/01,Left,66547,-400.754948,-6.655895326,4.00754948,-7.531,-381.1116357,398.7856659,4.351041261,1050.557491,9.644642779,0.449385162,-254.66931,-87.81
112,,Kathi,Royer,4/1/97,Left,13977,442.8125145,-6.089386421,-4.428125145,6.038,-163.7961202,578.661154,-2.898121982,968.8387673,5.507144546,-0.748798873,-248.69507,163.51
113,,Herb,Lorenz,3/4/00,Right,26951,-507.3142981,6.431683811,5.073142981,4.433,205.2099419,593.5243488,6.404254446,1050.875242,10.0610082,-0.388229453,-229.35019,34.89
114,,Kermit,Shay,9/22/98,Left,,692.0931847,4.022092617,-6.920931847,2.942,-322.4970228,425.0646574,6.040969278,1032.954327,8.016668918,1.641906316,-246.56534,27.62
115,,Winford,Heffner,9/2/99,Left,49114,-427.4033799,5.825532357,4.274033799,4.983,521.3306669,634.0641903,5.309596385,1037.188999,7.871969259,1.015896081,-230.50073,25.52
116,,Booker,Aleman,12/25/99,Left,62665,-357.9903271,4.46156251,3.579903271,6.198,605.7648912,640.1596652,,1061.380624,8.408945221,0.774414188,-231.02147,-22.35
117,,Hattie,Herron,7/29/01,Left,36872,,4.90243828,-2.810391476,4.772,-388.1228245,424.3755116,5.601012366,1035.967239,5.497183892,0.25911307,-241.4443,11.69
118,,Margaret,Hyatt,4/29/00,Right,57125,-340.6341612,-7.870889665,,-5.158,-262.2386149,458.1488136,6.257806956,1031.528351,11.89526048,-1.405475314,-252.07488,-74.98
119,,Tamra,Schuler,1/30/98,Left,44931,-716.4226192,5.904932363,7.164226192,3.743,619.9667673,591.6762355,5.858194755,1066.883591,7.905617441,0.639252796,-228.44239,-26.5
120,,Gavin,Bankston,11/5/00,Right,73735,536.6974597,-4.631306122,-5.366974597,3.279,-714.7868122,619.0679674,-5.54056266,956.4723583,3.672937648,1.185605195,-255.98934,191.33
121,,Roslyn,Willard,6/1/99,Left,71073,317.252424,6.207391298,-3.17252424,3.562,-794.9650611,399.93842,2.766277879,1074.101332,4.143997891,0.898166173,-245.46754,-7.73
122,,Eleanor,Knutson,5/19/98,Left,38036,700.7163981,-5.936644456,-7.007163981,4.238,-416.1545901,601.539943,-4.244317073,927.4439068,3.952032502,0.023444909,-254.96557,217.34
123,,Sally,Clanton,6/20/97,Right,49135,659.6600182,-6.944504088,-6.596600182,1.743,-890.7471969,571.8600646,-5.153064648,916.8758938,3.557049173,0.695278695,-259.86678,231.29
124,,Gerry,Oakley,11/17/98,Right,53893,-620.8713282,4.165848059,6.208713282,4.596,481.4180105,574.5978663,5.650401722,1048.644773,6.093897157,0.678998196,-231.10206,-36.93
125,,Beatrice,Gable,9/19/01,Right,67657,-407.6285371,5.762580119,4.076285371,6.243,517.6337443,596.968913,6.032569434,1048.526389,5.714810898,0.638814725,-230.8486,-37.83
126,,Darren,Elston,1/6/97,Right,27800,-615.4931566,-3.466066627,6.154931566,-5.802,-554.2027587,387.7977156,6.108642125,1045.178255,10.71809195,-0.092973622,-247.44911,-42.45
127,,Lyman,Willey,4/12/00,Left,63813,-456.3529141,5.039378065,4.563529141,5.223,561.8444385,556.9012728,6.880623813,1066.849524,6.425223055,0.473214452,-231.30792,-77.09
128,,Antonia,Xiong,10/13/98,Right,43656,596.0361369,1.991310298,-5.960361369,4.277,-492.2840619,419.6777203,6.40540912,1053.996668,8.936894251,-0.626877262,-246.32435,-17.19
129,,Madeline,Goddard,9/18/01,Right,36849,-421.2512292,8.10802688,4.212512292,5.907,845.3760444,629.9192428,6.476987927,1072.335664,9.420869463,-0.088093342,-226.00382,-0.33
130,,Jodi,Littlejohn,8/31/97,Left,31333,-538.8889067,5.034164388,5.388889067,5.093,538.0816384,597.0403925,6.506848207,1073.150221,10.24980858,-0.014008751,-228.4123,-16.09
131,,Mickey,Callaghan,6/16/00,Left,47148,339.3444156,-7.436157194,-3.393444156,5.323,52.49786005,547.5689765,-1.742829607,970.3993531,2.639611936,0.124449549,-250.57923,69.78
132,,Walker,Crawley,5/28/98,Right,34109,654.5140087,-5.133034441,-6.545140087,6.178,-189.7402591,571.2732443,-3.854573129,947.6764785,2.363468808,-0.246507661,-251.755,173
133,,Darrick,Lay,8/25/00,Right,52506,-404.7345082,-6.055030137,4.047345082,-6.793,-398.4047488,404.9074334,4.071324705,1057.560106,10.5513116,0.370216264,-252.83402,-66.61
134,,Earl,Coyne,6/8/98,Left,62934,161.5607912,1.874090868,-1.615607912,7.669,-730.0647224,489.143538,4.689469132,1067.092962,7.659183588,-2.169187648,-241.2211,-26.78
135,,Sabrina,Ackerman,8/2/99,Left,,-594.093215,4.323925316,5.94093215,3.875,681.3868007,611.9426396,2.638283138,1048.022838,5.952052717,-0.419306825,-231.30204,20.28
136,,Brandie,Bozeman,2/5/99,Left,65778,-614.3552898,4.774831279,6.143552898,3.866,660.0111729,580.959449,4.442950177,1047.175813,4.325515583,-0.3086355,-231.95398,-38.2
137,,Mariano,Hutchings,7/30/99,Right,61741,-641.3662055,-5.075863332,6.413662055,-4.507,-691.0864133,343.5774927,7.927912823,1039.0355,7.602147757,0.192841794,-249.54664,-135.05
138,,Robert,Stewart,3/17/97,Left,65129,241.0037224,-5.950611367,-2.410037224,4.133,-448.3294815,609.9516027,-5.360544664,952.6171949,1.840433587,-0.14921309,-252.69629,159.55
139,,Julianna,Meadows,1/30/01,Left,58803,450.2635641,4.854563901,-4.502635641,5.186,-577.7900388,439.5522167,5.85072475,1051.705802,6.764245971,1.441842278,-243.66953,-8.84
140,,Janell,Crawley,12/24/00,Left,64611,364.6823692,-0.335456681,-3.646823692,8.482,-648.1175468,433.9439867,6.38619111,1072.820549,7.376680308,2.880593796,-243.60355,-89.81
141,,Kelley,London,1/3/98,Left,19537,-478.5424276,6.450852836,4.785424276,4.168,253.3498632,571.2308342,4.473924278,1051.904801,8.383659211,-0.623118631,-230.22301,52.82
142,,Lee,Yazzie,8/24/00,Left,56513,426.2284303,,-4.262284303,4.021,-525.993656,553.1890013,-5.028683796,941.2359512,0.559390484,-2.053440025,-255.06362,159.28
143,,Young,Headrick,10/10/01,Left,62745,-500.3462163,4.52292506,5.003462163,5.466,417.030417,541.2054575,5.357666476,1041.285439,3.495920404,0.364042478,-232.55704,-50.32
144,,Rebekah,Brannon,8/25/98,Left,37094,699.4340947,-5.931147528,-6.994340947,4.262,-708.0559809,539.1149695,-5.271279161,917.2162749,0.896571583,1.631620848,-256.99366,219.96
